date,estacion,VH_db,month,tipo,year,VH_z
2023-01-01,CP Luna,-19.47877155126532,1,manglar,2023,1.032605491326545
2023-02-01,CP Luna,-19.503724278869814,2,manglar,2023,1.0133462980324937
2023-03-01,CP Luna,-19.34059143530232,3,manglar,2023,1.1392566600848153
2023-04-01,CP Luna,-19.676178634027284,4,manglar,2023,0.8802413400085586
2023-05-01,CP Luna,-19.448289653461188,5,manglar,2023,1.056132248444417
2023-06-01,CP Luna,-19.189753739776833,6,manglar,2023,1.2556772927386797
2023-07-01,CP Luna,-19.114692352585227,7,manglar,2023,1.3136117112822658
2023-08-01,CP Luna,-19.759895387634067,8,manglar,2023,0.8156264744427913
2023-09-01,CP Luna,-20.365101300393388,9,manglar,2023,0.3485121035699291
2023-10-01,CP Luna,-19.930348563268947,10,manglar,2023,0.6840660811595353
2023-11-01,CP Luna,-19.609473734474953,11,manglar,2023,0.9317259942916964
2023-12-01,CP Luna,-19.748181789032852,12,manglar,2023,0.824667348178339
2024-01-01,CP Luna,-19.993104968567412,1,manglar,2024,0.6356289820479594
2024-02-01,CP Luna,-20.044771013995252,2,manglar,2024,0.5957517240821868
2024-03-01,CP Luna,-20.329218266536596,3,manglar,2024,0.3762076042774551
2024-04-01,CP Luna,-20.619148976213637,4,manglar,2024,0.15243120323397788
2024-05-01,CP Luna,-20.437311288894506,5,manglar,2024,0.29277847202682417
2024-06-01,CP Luna,-19.977050013025455,6,manglar,2024,0.6480206330534504
2024-07-01,CP Luna,-19.8792939949335,7,manglar,2024,0.7234713844875632
2024-08-01,CP Luna,-20.30600217608556,8,manglar,2024,0.39412641382067265
2024-09-01,CP Luna,-19.88821612324421,9,manglar,2024,0.7165850433847447
2024-10-01,CP Luna,-19.036869784768044,10,manglar,2024,1.3736772840720193
2024-11-01,CP Luna,-19.8247134936963,11,manglar,2024,0.7655980986518373
2024-12-01,CP Luna,-20.029700938261545,12,manglar,2024,0.6073832180860407
2025-01-01,CP Luna,-19.972954344727636,1,manglar,2025,0.6511817811518169
2025-02-01,CP Luna,-19.847153942803082,2,manglar,2025,0.748277950177367
2025-03-01,CP Luna,-19.955684453458055,3,manglar,2025,0.6645111525696428
2025-04-01,CP Luna,-20.62375029885273,4,manglar,2025,0.14887977737307773
2025-05-01,CP Luna,-20.162965772389878,5,manglar,2025,0.5045257974281424
2025-06-01,CP Luna,-20.062989342562528,6,manglar,2025,0.5816903229827525
2025-07-01,CP Luna,-19.85318484237669,7,manglar,2025,0.7436231379874466
2025-08-01,CP Luna,-19.93636419264881,8,manglar,2025,0.6794230549201392
2025-09-01,CP Luna,-19.61533947950871,9,manglar,2025,0.9271986528639649
2025-10-01,CP Luna,-19.40112491850537,10,manglar,2025,1.0925352726578197
2025-11-01,CP Luna,-19.386441035601464,11,manglar,2025,1.103868692540247
2025-12-01,CP Luna,-19.27276347676524,12,manglar,2025,1.1916081218132448
2018-01-01,Cano Clarin,-18.881037893270854,1,manglar,2018,-1.3375392553284395
2018-02-01,Cano Clarin,-18.89585576089307,2,manglar,2018,-1.3465030934840232
2018-03-01,Cano Clarin,-18.953938079270955,3,manglar,2018,-1.381639087063818
2018-04-01,Cano Clarin,-19.862913468357178,4,manglar,2018,-1.9315095868489225
2018-05-01,Cano Clarin,-18.351193991471323,5,manglar,2018,-1.0170184419063264
2018-06-01,Cano Clarin,-14.796302072830077,6,manglar,2018,1.1334580390359659
2018-07-01,Cano Clarin,-14.817083328058473,7,manglar,2018,1.1208867424576423
2018-08-01,Cano Clarin,-15.227015042273155,8,manglar,2018,0.8729049386823035
2018-09-01,Cano Clarin,-15.291555199036226,9,manglar,2018,0.8338623763845551
2018-10-01,Cano Clarin,-16.519463711478483,10,manglar,2018,0.09105825260540026
2018-11-01,Cano Clarin,-14.748687420140971,11,manglar,2018,1.162261781343635
2018-12-01,Cano Clarin,-15.42804287067644,12,manglar,2018,0.7512962859046391
2019-01-01,Cano Clarin,-18.683948226288184,1,manglar,2019,-1.2183129319455952
2019-02-01,Cano Clarin,-20.759696512922314,2,manglar,2019,-2.474004517772805
2019-03-01,Cano Clarin,-20.637419141666065,3,manglar,2019,-2.400034727113594
2019-04-01,Cano Clarin,-19.96805075862436,4,manglar,2019,-1.9951107525563738
2019-05-01,Cano Clarin,-19.144213812243358,5,manglar,2019,-1.496743427228288
2019-06-01,Cano Clarin,-18.413188402215955,6,manglar,2019,-1.0545209948129597
2019-07-01,Cano Clarin,-16.512254643171683,7,manglar,2019,0.09541926616026665
2019-08-01,Cano Clarin,-18.34157822455204,8,manglar,2019,-1.0112015335222193
2019-09-01,Cano Clarin,-19.653645880140743,9,manglar,2019,-1.8049164197478065
2019-10-01,Cano Clarin,-19.245608031116443,10,manglar,2019,-1.5580802802129572
2019-11-01,Cano Clarin,-17.74164312203276,11,manglar,2019,-0.6482801402460658
2019-12-01,Cano Clarin,-16.99251082156072,12,manglar,2019,-0.19510422656172902
2020-01-01,Cano Clarin,-16.845414887582464,1,manglar,2020,-0.10612083305721207
2020-02-01,Cano Clarin,-16.765820211665716,2,manglar,2020,-0.05797127394695507
2020-03-01,Cano Clarin,-17.67912676887003,3,manglar,2020,-0.6104618464054715
2020-04-01,Cano Clarin,-18.124466785620903,4,manglar,2020,-0.8798633511384897
2020-05-01,Cano Clarin,-17.651485241770246,5,manglar,2020,-0.5937405352416325
2020-06-01,Cano Clarin,-18.163748500983733,6,manglar,2020,-0.9036262128378467
2020-07-01,Cano Clarin,-17.526578996392324,7,manglar,2020,-0.5181804481403922
2020-08-01,Cano Clarin,-15.251594237519042,8,manglar,2020,0.8580361374623299
2020-09-01,Cano Clarin,-14.744713333878844,9,manglar,2020,1.1646658429116186
2020-10-01,Cano Clarin,-14.544076368359194,10,manglar,2020,1.2860380492774737
2020-11-01,Cano Clarin,-14.840898920403308,11,manglar,2020,1.1064798709157213
2020-12-01,Cano Clarin,-15.176619139174216,12,manglar,2020,0.9033911550935015
